2026-08-26 15:13:40,191 | __main__ | INFO | Synthesizing Whiteboard Diagram: 'AI Finds Patterns'...
2026-08-26 15:13:40,323 | __main__ | INFO | Rendering hand-drawn whiteboard animation for test_sketch.png (3.00s)...
2026-08-26 15:13:40,324 | __main__ | INFO | Generating realistic marker hand overlay asset...
2026-08-26 15:13:44,299 | __main__ | INFO | Generated whiteboard animation clip: E:\ai_gen\AI-VIDEO-V2\temp\test_whiteboard.mp4
2026-08-26 15:16:09,144 | utils.database | INFO | Initializing SQLite database at: E:\ai_gen\AI-VIDEO-V2\data\shortest_orbit_v3.db
2026-08-26 15:16:09,149 | utils.database | INFO | Database schema initialized successfully.
2026-08-26 15:16:09,507 | python.generate_whiteboard | INFO | === STEP 6 (WHITEBOARD): GENERATING HAND-DRAWN SKETCH VIDEOS ===
2026-08-26 15:16:37,982 | utils.database | INFO | Initializing SQLite database at: E:\ai_gen\AI-VIDEO-V2\data\shortest_orbit_v3.db
2026-08-26 15:16:37,984 | utils.database | INFO | Database schema initialized successfully.
2026-08-26 15:16:38,264 | python.generate_whiteboard | INFO | === STEP 6 (WHITEBOARD): GENERATING HAND-DRAWN SKETCH VIDEOS ===
2026-08-26 15:16:38,264 | python.generate_whiteboard | INFO | Synthesizing Whiteboard Diagram for Scene 1: 'black hole event horizon'...
2026-08-26 15:16:38,323 | python.generate_whiteboard | INFO | Rendering hand-drawn whiteboard animation for whiteboard_sketch_1.png (4.53s)...
2026-08-26 15:16:42,164 | python.generate_whiteboard | INFO | Generated whiteboard animation clip: E:\ai_gen\AI-VIDEO-V2\downloads\videos\scene_1.mp4
2026-08-26 15:16:42,167 | python.generate_whiteboard | INFO | Synthesizing Whiteboard Diagram for Scene 2: 'black hole accretion disc'...
2026-08-26 15:16:42,210 | python.generate_whiteboard | INFO | Rendering hand-drawn whiteboard animation for whiteboard_sketch_2.png (22.56s)...
2026-08-26 15:16:59,454 | python.generate_whiteboard | INFO | Generated whiteboard animation clip: E:\ai_gen\AI-VIDEO-V2\downloads\videos\scene_2.mp4
2026-08-26 15:16:59,457 | python.generate_whiteboard | INFO | Synthesizing Whiteboard Diagram for Scene 3: 'spacecraft near black hole'...
2026-08-26 15:16:59,513 | python.generate_whiteboard | INFO | Rendering hand-drawn whiteboard animation for whiteboard_sketch_3.png (5.44s)...
2026-08-26 15:17:03,889 | python.generate_whiteboard | INFO | Generated whiteboard animation clip: E:\ai_gen\AI-VIDEO-V2\downloads\videos\scene_3.mp4
2026-08-26 15:17:03,892 | python.generate_whiteboard | INFO | Successfully generated 3 Hand-Drawn Whiteboard scene clips!
2026-08-26 15:17:03,892 | python.create_video | INFO | === STEP 7: CREATE SILENT VIDEO ===
2026-08-26 15:17:03,894 | python.create_video | INFO | Processing scene 1 (scene_1.mp4) -> target duration: 4.5333331s
2026-08-26 15:17:03,894 | utils.ffmpeg | DEBUG | FFprobe command: ffprobe -hide_banner -v quiet -print_format json -show_format -show_streams -select_streams v:0 E:\ai_gen\AI-VIDEO-V2\downloads\videos\scene_1.mp4
2026-08-26 15:17:03,979 | utils.ffmpeg | INFO | Video info for scene_1.mp4: 1080x1920, 4.50s, mpeg4 @ 30.00 fps
2026-08-26 15:17:03,980 | python.create_video | DEBUG | Input clip duration: 4.5s, resolution: 1080x1920
2026-08-26 15:17:03,980 | python.create_video | INFO | Clip (4.5s) is shorter than target (4.5333331s). Looping clip for fluid motion.
2026-08-26 15:17:03,980 | utils.ffmpeg | DEBUG | FFmpeg command: ffmpeg -hide_banner -y -stream_loop -1 -i E:\ai_gen\AI-VIDEO-V2\downloads\videos\scene_1.mp4 -vf scale=1080:1920:force_original_aspect_ratio=increase,crop=1080:1920,fps=30 -c:v libx264 -preset fast -threads 4 -crf 22 -pix_fmt yuv420p -t 4.5333331 -an E:\ai_gen\AI-VIDEO-V2\temp\scenes\processed_scene_1.mp4
2026-08-26 15:17:05,398 | python.create_video | INFO | Successfully processed scene 1. File size: 117887 bytes
2026-08-26 15:17:05,398 | python.create_video | INFO | Processing scene 2 (scene_2.mp4) -> target duration: 22.5578694s
2026-08-26 15:17:05,399 | utils.ffmpeg | DEBUG | FFprobe command: ffprobe -hide_banner -v quiet -print_format json -show_format -show_streams -select_streams v:0 E:\ai_gen\AI-VIDEO-V2\downloads\videos\scene_2.mp4
2026-08-26 15:17:05,469 | utils.ffmpeg | INFO | Video info for scene_2.mp4: 1080x1920, 22.53s, mpeg4 @ 30.00 fps
2026-08-26 15:17:05,470 | python.create_video | DEBUG | Input clip duration: 22.533333s, resolution: 1080x1920
2026-08-26 15:17:05,470 | python.create_video | INFO | Clip (22.533333s) is shorter than target (22.5578694s). Looping clip for fluid motion.
2026-08-26 15:17:05,470 | utils.ffmpeg | DEBUG | FFmpeg command: ffmpeg -hide_banner -y -stream_loop -1 -i E:\ai_gen\AI-VIDEO-V2\downloads\videos\scene_2.mp4 -vf scale=1080:1920:force_original_aspect_ratio=increase,crop=1080:1920,fps=30 -c:v libx264 -preset fast -threads 4 -crf 22 -pix_fmt yuv420p -t 22.5578694 -an E:\ai_gen\AI-VIDEO-V2\temp\scenes\processed_scene_2.mp4
2026-08-26 15:17:10,515 | python.create_video | INFO | Successfully processed scene 2. File size: 462568 bytes
2026-08-26 15:17:10,515 | python.create_video | INFO | Processing scene 3 (scene_3.mp4) -> target duration: 5.439814500000001s
2026-08-26 15:17:10,516 | utils.ffmpeg | DEBUG | FFprobe command: ffprobe -hide_banner -v quiet -print_format json -show_format -show_streams -select_streams v:0 E:\ai_gen\AI-VIDEO-V2\downloads\videos\scene_3.mp4
2026-08-26 15:17:10,573 | utils.ffmpeg | INFO | Video info for scene_3.mp4: 1080x1920, 5.43s, mpeg4 @ 30.00 fps
2026-08-26 15:17:10,574 | python.create_video | DEBUG | Input clip duration: 5.433333s, resolution: 1080x1920
2026-08-26 15:17:10,574 | python.create_video | INFO | Clip (5.433333s) is shorter than target (5.439814500000001s). Looping clip for fluid motion.
2026-08-26 15:17:10,575 | utils.ffmpeg | DEBUG | FFmpeg command: ffmpeg -hide_banner -y -stream_loop -1 -i E:\ai_gen\AI-VIDEO-V2\downloads\videos\scene_3.mp4 -vf scale=1080:1920:force_original_aspect_ratio=increase,crop=1080:1920,fps=30 -c:v libx264 -preset fast -threads 4 -crf 22 -pix_fmt yuv420p -t 5.439814500000001 -an E:\ai_gen\AI-VIDEO-V2\temp\scenes\processed_scene_3.mp4
2026-08-26 15:17:12,239 | python.create_video | INFO | Successfully processed scene 3. File size: 145087 bytes
2026-08-26 15:17:12,239 | python.create_video | INFO | Concatenating 3 processed scenes into final silent video: E:\ai_gen\AI-VIDEO-V2\temp\video.mp4
2026-08-26 15:17:12,240 | utils.ffmpeg | INFO | Concatenating 3 clips -> video.mp4
2026-08-26 15:17:12,243 | utils.ffmpeg | DEBUG | FFmpeg command: ffmpeg -hide_banner -y -f concat -safe 0 -i C:\Users\pasam\AppData\Local\Temp\ffconcat_c1h08fm1.txt -c:v libx264 -preset medium -crf 23 -pix_fmt yuv420p -c:a aac -b:a 192k E:\ai_gen\AI-VIDEO-V2\temp\video.mp4
2026-08-26 15:17:19,325 | utils.ffmpeg | INFO | Concatenated video saved to video.mp4
